Quantity,Product_ID,Order_ID,OrderProduct_ID
2,PR101,O100,OP01
1,PR101,O101,OP02
4,PR101,O102,OP03
1,PR104,O103,OP04
1,PR105,O104,OP05
1,PR106,O105,OP06
1,PR106,O106,OP07
4,PR106,O107,OP08
3,PR106,O108,OP09
5,PR106,O109,OP10
6,PR106,O110,OP11
3,PR112,O111,OP12
5,PR113,O112,OP13
3,PR114,O113,OP14
2,PR115,O114,OP15
2,PR116,O115,OP16
2,PR117,O116,OP17
2,PR118,O117,OP18
1,PR119,O118,OP19
4,PR120,O119,OP20
4,PR120,O120,OP21
4,PR120,O121,OP22
4,PR120,O122,OP23
4,PR124,O123,OP24
3,PR125,O124,OP25
3,PR126,O125,OP26
3,PR127,O126,OP27
3,PR128,O127,OP28
3,PR129,O128,OP29
5,PR130,O129,OP30
5,PR131,O130,OP31
5,PR132,O131,OP32
5,PR133,O132,OP33
5,PR134,O133,OP34
7,PR135,O134,OP35
5,PR136,O135,OP36
2,PR137,O136,OP37
2,PR138,O137,OP38
2,PR139,O138,OP39
2,PR140,O139,OP40
2,PR101,O140,OP41
2,PR101,O141,OP42
2,PR101,O142,OP43
2,PR101,O143,OP44
8,PR121,O144,OP45
4,PR121,O145,OP46
4,PR121,O146,OP47
4,PR121,O147,OP48
3,PR126,O148,OP49
3,PR127,O149,OP50
3,PR128,O150,OP51
6,PR109,O151,OP52
6,PR110,O152,OP53
6,PR111,O153,OP54
6,PR018,O154,OP55
3,PR019,O155,OP56
3,PR020,O156,OP57
3,PR021,O157,OP58
2,PR022,O158,OP59
2,PR023,O159,OP60
2,PR024,O160,OP61
2,PR025,O161,OP62
2,PR026,O162,OP63
5,PR027,O163,OP64
5,PR028,O164,OP65
5,PR029,O165,OP66
8,PR030,O166,OP67
8,PR031,O167,OP68
8,PR032,O168,OP69
9,PR033,O169,OP70
9,PR034,O170,OP71
9,PR035,O171,OP72
9,PR036,O172,OP73
9,PR037,O173,OP74
9,PR038,O174,OP75
9,PR039,O175,OP76
9,PR040,O176,OP77
9,PR041,O177,OP78
9,PR042,O178,OP79
9,PR043,O179,OP80
9,PR044,O180,OP81
9,PR045,O181,OP82
9,PR046,O182,OP83
9,PR047,O183,OP84
9,PR048,O184,OP85
9,PR049,O185,OP86
12,PR014,O186,OP87
12,PR015,O187,OP88
1,PR016,O178,OP89
1,PR017,O178,OP90
1,PR018,O178,OP91
1,PR019,O178,OP92
1,PR020,O178,OP93
1,PR021,O178,OP94
1,PR022,O178,OP95
1,PR033,O181,OP96
1,PR034,O182,OP97
1,PR035,O183,OP98
1,PR036,O184,OP99
1,PR037,O185,OP100
1,PR038,O186,OP101
