Quality_Rating,Defect%,Review_ID,Product_ID
7,10,RE01,PR101
7,10,RE02,PR102
7,10,RE03,PR103
7,10,RE04,PR104
7,10,RE05,PR105
7,10,RE06,PR106
7,10,RE07,PR107
9,0,RE08,PR108
9,0,RE09,PR109
9,0,RE10,PR110
9,0,RE11,PR111
9,0,RE12,PR112
9,0,RE13,PR113
9,0,RE14,PR114
9,0,RE15,PR115
9,0,RE16,PR116
9,0,RE17,PR117
7,10,RE18,PR118
7,10,RE19,PR119
7,10,RE20,PR120
7,10,RE21,PR121
7,10,RE22,PR122
7,10,RE23,PR123
7,10,RE24,PR124
7,10,RE25,PR125
7,10,RE26,PR126
7,10,RE27,PR127
7,10,RE28,PR128
8,5,RE29,PR129
8,5,RE30,PR130
8,5,RE31,PR131
8,5,RE32,PR132
8,4,RE33,PR133
8,4,RE34,PR134
9,0,RE35,PR135
9,0,RE36,PR136
5,20,RE37,PR137
4,30,RE38,PR138
9,0,RE39,PR139
9,0,RE40,PR140
